class,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
1,0.042410714,0.091517857,0.040178571,0.015625,0.015625,0.022321429,0.022321429,0.082589286,0.120535714,0.073660714,0.053571429,0.053571429,0.017857143,0.035714286,0.111607143,0.033482143,0.022321429,0.060267857,0.020089286,0.064732143
1,0.05027933,0.173184358,0.089385475,0.005586592,0.044692737,0,0.033519553,0.078212291,0.072625698,0.027932961,0.05027933,0.044692737,0.022346369,0.011173184,0.039106145,0.089385475,0.022346369,0.078212291,0.022346369,0.044692737
1,0.081196581,0.054131054,0.062678063,0.042735043,0.032763533,0.008547009,0.02991453,0.082621083,0.081196581,0.045584046,0.054131054,0.054131054,0.00997151,0.021367521,0.061253561,0.05982906,0.038461538,0.091168091,0.031339031,0.056980057
1,0.095238095,0.05764411,0.077694236,0.037593985,0.027568922,0.002506266,0.025062657,0.090225564,0.07518797,0.042606516,0.047619048,0.077694236,0.002506266,0.025062657,0.050125313,0.062656642,0.01754386,0.082706767,0.030075188,0.072681704
1,0.056856187,0.140468227,0.073578595,0.040133779,0.010033445,0.006688963,0.016722408,0.070234114,0.086956522,0.040133779,0.056856187,0.036789298,0.016722408,0.013377926,0.08361204,0.043478261,0.036789298,0.08361204,0.023411371,0.063545151
1,0.113402062,0.103092784,0.06185567,0.030927835,0.010309278,0.010309278,0,0.06185567,0.154639175,0.020618557,0.041237113,0.030927835,0.010309278,0,0.051546392,0.041237113,0.134020619,0.06185567,0.010309278,0.051546392
1,0.113095238,0.071428571,0.113095238,0.011904762,0.047619048,0,0,0.095238095,0.041666667,0.047619048,0.05952381,0.05952381,0,0.011904762,0.017857143,0.101190476,0.005952381,0.101190476,0.023809524,0.077380952
1,0.090032154,0.147909968,0.038585209,0.012861736,0.041800643,0.006430868,0.01607717,0.048231511,0.090032154,0.057877814,0.090032154,0.061093248,0.009646302,0.038585209,0.073954984,0.019292605,0.048231511,0.064308682,0.012861736,0.032154341
1,0.080229226,0.091690544,0.068767908,0.06017192,0.020057307,0.00286533,0.011461318,0.077363897,0.114613181,0.06017192,0.068767908,0.042979943,0.005730659,0.028653295,0.06017192,0.045845272,0.034383954,0.054441261,0.025787966,0.045845272
1,0.097222222,0.087962963,0.050925926,0.013888889,0.023148148,0.013888889,0.018518519,0.055555556,0.111111111,0.083333333,0.055555556,0.041666667,0.032407407,0.050925926,0.069444444,0.018518519,0.027777778,0.055555556,0.013888889,0.078703704
1,0.048076923,0.125,0.067307692,0.048076923,0.048076923,0,0.048076923,0.067307692,0.076923077,0.019230769,0.115384615,0.028846154,0.009615385,0.048076923,0.067307692,0.028846154,0.009615385,0.057692308,0.048076923,0.038461538
1,0.054711246,0.060790274,0.036474164,0.03343465,0.054711246,0.021276596,0.051671733,0.103343465,0.079027356,0.05775076,0.048632219,0.051671733,0.012158055,0.030395137,0.045592705,0.063829787,0.027355623,0.060790274,0.042553191,0.063829787
1,0.080906149,0.084142395,0.077669903,0.009708738,0.025889968,0.006472492,0.003236246,0.087378641,0.158576052,0.045307443,0.048543689,0.055016181,0.003236246,0.019417476,0.048543689,0.029126214,0.045307443,0.074433657,0.055016181,0.042071197
1,0.059907834,0.076036866,0.046082949,0.023041475,0.043778802,0.01843318,0.039170507,0.080645161,0.129032258,0.039170507,0.057603687,0.062211982,0.011520737,0.01843318,0.036866359,0.048387097,0.066820276,0.062211982,0.02764977,0.052995392
1,0.134020619,0.072164948,0.103092784,0.020618557,0.010309278,0,0.010309278,0.103092784,0.072164948,0.020618557,0.06185567,0.030927835,0,0.010309278,0.051546392,0.082474227,0,0.103092784,0.051546392,0.06185567
1,0.084175084,0.114478114,0.047138047,0.03030303,0.037037037,0.01010101,0.01010101,0.050505051,0.087542088,0.070707071,0.057239057,0.050505051,0.013468013,0.033670034,0.074074074,0.037037037,0.043771044,0.080808081,0.026936027,0.04040404
1,0.078125,0.1171875,0.046875,0.046875,0.046875,0.0078125,0.015625,0.078125,0.125,0.0234375,0.03125,0.0390625,0,0,0.03125,0.0859375,0.015625,0.0859375,0.0625,0.0625
1,0.054054054,0.108108108,0.060810811,0.013513514,0.027027027,0,0.027027027,0.074324324,0.067567568,0.013513514,0.033783784,0.047297297,0.027027027,0.081081081,0.054054054,0.060810811,0.033783784,0.094594595,0.040540541,0.081081081
1,0.064039409,0.137931034,0.024630542,0.024630542,0.02955665,0.014778325,0.024630542,0.064039409,0.068965517,0.02955665,0.054187192,0.093596059,0.014778325,0.02955665,0.044334975,0.054187192,0.054187192,0.078817734,0.034482759,0.0591133
1,0.069053708,0.066496164,0.061381074,0.040920716,0.025575448,0.012787724,0.007672634,0.125319693,0.163682864,0.035805627,0.051150895,0.046035806,0.012787724,0.015345269,0.046035806,0.046035806,0.035805627,0.051150895,0.035805627,0.051150895
1,0.108374384,0.044334975,0.083743842,0.034482759,0.039408867,0.009852217,0.044334975,0.078817734,0.039408867,0.0591133,0.0591133,0.0591133,0.009852217,0.039408867,0.049261084,0.049261084,0,0.068965517,0.078817734,0.044334975
1,0.04516129,0.106451613,0.058064516,0.025806452,0.05483871,0.022580645,0.035483871,0.064516129,0.058064516,0.064516129,0.074193548,0.032258065,0.012903226,0.025806452,0.093548387,0.025806452,0.048387097,0.061290323,0.038709677,0.051612903
